country,sex,year,not_adequately_defined_000
chl,f,1992,0.20000000298023224
chl,mf,1993,0.5
chl,m,1993,0.4000000059604645
chl,f,1993,0.20000000298023224
chl,mf,1994,0.699999988079071
chl,m,1994,0.699999988079071
chl,f,1994,0.0
chl,mf,1995,0.8999999761581421
chl,m,1995,0.699999988079071
chl,f,1995,0.20000000298023224
chl,mf,1996,0.20000000298023224
chl,m,1996,0.20000000298023224
chl,f,1996,0.0
chn,mf,1987,37300.0
chn,mf,1988,39280.0
chn,mf,1989,50160.0
chn,mf,1990,113300.0
chn,mf,1991,107770.0
chn,mf,1992,109090.0
chn,mf,1993,122690.0
chn,mf,1994,123250.0
chn,mf,1995,123970.0
chn,mf,1996,129540.0
chn,mf,1997,133580.0
chn,mf,1998,157370.0
chn,mf,1999,162060.0
chn,mf,2000,170880.0
chn,mf,2001,181560.0
chn,mf,2002,163040.0
chn,mf,2003,3421.0
chn,m,2003,2090.0
chn,f,2003,1331.0
chn,mf,2004,3540.0
chn,m,2004,2140.0
chn,f,2004,1400.0
chn,mf,2005,3644.0
chn,m,2005,2206.0
chn,f,2005,1438.0
chn,mf,2006,3818.0
chn,m,2006,2579.0
chn,f,2006,1239.0
chn,mf,2007,4011.0
chn,m,2007,2413.0
chn,f,2007,1598.0
chn,mf,2008,4133.203125
chn,mf,2009,4962.0
chn,mf,2010,5290.0
chn,mf,2011,5169.0
col,mf,1980,2.299999952316284
col,m,1980,1.7999999523162842
col,f,1980,0.5
col,mf,1985,2.0
col,m,1985,1.100000023841858
col,f,1985,0.8999999761581421
col,mf,1986,1.7999999523162842
col,m,1986,1.2000000476837158
col,f,1986,0.6000000238418579
col,mf,1987,3.0
col,m,1987,1.899999976158142
col,f,1987,1.100000023841858
col,mf,1988,1.899999976158142
col,m,1988,1.0
col,f,1988,1.0
col,mf,1989,1.2999999523162842
col,m,1989,0.6000000238418579
col,f,1989,0.6000000238418579
col,mf,1990,1.2999999523162842
col,m,1990,0.30000001192092896
col,f,1990,1.0
col,mf,1991,8.199999809265137
col,m,1991,4.300000190734863
col,f,1991,4.0
col,mf,1992,15.100000381469727
col,m,1992,8.800000190734863
col,f,1992,6.300000190734863
col,mf,1993,10.600000381469727
col,m,1993,5.800000190734863
col,f,1993,4.800000190734863
col,mf,1994,2.9000000953674316
col,m,1994,1.5
col,f,1994,1.399999976158142
col,mf,1995,3.0999999046325684
col,m,1995,1.2999999523162842
col,f,1995,1.7000000476837158
col,mf,1996,6.199999809265137
col,m,1996,4.5
col,f,1996,1.7000000476837158
col,mf,1997,20.799999237060547
col,m,1997,12.0
col,f,1997,8.800000190734863
col,mf,1998,7.5
col,m,1998,4.199999809265137
col,f,1998,3.299999952316284
col,mf,1999,14.899999618530273
col,m,1999,10.0
col,f,1999,4.900000095367432
col,mf,2000,5.800000190734863
col,m,2000,2.0999999046325684
col,f,2000,3.5999999046325684
col,mf,2001,2513.212890625
col,m,2001,1536.7010498046875
col,f,2001,976.5120239257812
col,mf,2002,7.800000190734863
col,m,2002,4.400000095367432
col,f,2002,3.4000000953674316
col,mf,2003,3.0999999046325684
col,m,2003,0.5
col,f,2003,2.5999999046325684
col,mf,2004,4.400000095367432
col,m,2004,2.799999952316284
col,f,2004,1.600000023841858
col,mf,2005,0.800000011920929
col,m,2005,0.6000000238418579
col,f,2005,0.20000000298023224
col,mf,2006,354.6300048828125
col,m,2006,216.08900451660156
col,f,2006,138.54100036621094
col,mf,2007,8.5
col,m,2007,6.699999809265137
col,f,2007,1.7000000476837158
col,mf,2008,26.899999618530273
col,m,2008,17.5
col,f,2008,9.399999618530273
col,mf,2009,14.951000213623047
col,m,2009,10.246999740600586
col,f,2009,4.704999923706055
col,mf,2010,9.473999977111816
col,m,2010,5.808000087738037
col,f,2010,3.6670000553131104
col,mf,2011,3.446000099182129
col,m,2011,1.8029999732971191
col,f,2011,1.6430000066757202
col,mf,2012,6.396999835968018
col,m,2012,4.265999794006348
col,f,2012,2.130000114440918
col,mf,2013,3.6630001068115234
col,m,2013,2.250999927520752
col,f,2013,1.4119999408721924
col,mf,2014,3.122999906539917
col,m,2014,1.5609999895095825
col,f,2014,1.562000036239624
cog,mf,2005,20.57699966430664
cog,m,2005,15.965999603271484
cog,f,2005,4.611000061035156
cri,mf,1980,2.0999999046325684
cri,m,1980,1.600000023841858
cri,f,1980,0.4000000059604645
cri,mf,1981,6.400000095367432
cri,m,1981,5.199999809265137
cri,f,1981,1.2000000476837158
cri,mf,1982,6.199999809265137
cri,m,1982,5.300000190734863
cri,f,1982,0.8999999761581421
cri,mf,1983,4.300000190734863
cri,m,1983,3.299999952316284
cri,f,1983,1.0
cri,mf,1984,5.400000095367432
cri,m,1984,4.0
cri,f,1984,1.399999976158142
cri,mf,1985,5.900000095367432
cri,m,1985,4.800000190734863
cri,f,1985,1.100000023841858
cri,mf,1986,7.900000095367432
cri,m,1986,6.599999904632568
cri,f,1986,1.2999999523162842
cri,mf,1987,7.900000095367432
cri,m,1987,5.900000095367432
cri,f,1987,2.0
cri,mf,1988,8.399999618530273
cri,m,1988,7.0
cri,f,1988,1.399999976158142
cri,mf,1989,10.300000190734863
cri,m,1989,8.300000190734863
cri,f,1989,2.0
cri,mf,1990,7.5
cri,m,1990,5.599999904632568
cri,f,1990,1.7999999523162842
cri,mf,1991,9.300000190734863
cri,m,1991,7.900000095367432
cri,f,1991,1.399999976158142
cri,mf,1992,8.699999809265137
cri,m,1992,6.199999809265137
cri,f,1992,2.5
cri,mf,1993,13.600000381469727
cri,m,1993,9.199999809265137
cri,f,1993,4.400000095367432
cri,mf,1994,10.399999618530273
cri,m,1994,7.300000190734863
cri,f,1994,3.0999999046325684
cri,mf,1995,9.600000381469727
cri,m,1995,7.699999809265137
cri,f,1995,1.899999976158142
cri,mf,1996,10.600000381469727
cri,m,1996,8.699999809265137
cri,f,1996,1.899999976158142
cri,mf,1997,8.100000381469727
cri,m,1997,5.699999809265137
cri,f,1997,2.4000000953674316
cri,mf,1998,10.199999809265137
cri,m,1998,7.5
cri,f,1998,2.799999952316284
cri,mf,1999,6.900000095367432
cri,m,1999,4.900000095367432
cri,f,1999,2.0
cri,mf,2000,8.899999618530273
cri,m,2000,6.300000190734863
cri,f,2000,2.700000047683716
cri,mf,2001,5.599999904632568
cri,m,2001,3.9000000953674316
cri,f,2001,1.7000000476837158
cri,mf,2002,5.5
cri,m,2002,4.099999904632568
cri,f,2002,1.2999999523162842
cri,mf,2003,7.199999809265137
cri,m,2003,4.900000095367432
cri,f,2003,2.299999952316284
cri,mf,2004,5.0
cri,m,2004,4.199999809265137
cri,f,2004,0.800000011920929
cri,mf,2005,6.5
cri,m,2005,5.5
cri,f,2005,1.0
cri,mf,2006,4.5
cri,m,2006,2.700000047683716
cri,f,2006,1.7999999523162842
cri,mf,2007,6.599999904632568
cri,m,2007,4.099999904632568
cri,f,2007,2.5999999046325684
cri,mf,2008,8.300000190734863
cri,m,2008,6.099999904632568
cri,f,2008,2.299999952316284
cri,mf,2009,75.26200103759766
cri,m,2009,67.84100341796875
cri,f,2009,7.421000003814697
cri,mf,2010,16.13800048828125
cri,m,2010,12.531999588012695
cri,f,2010,3.6059999465942383
cri,mf,2011,6.408999919891357
cri,m,2011,5.315000057220459
cri,f,2011,1.093999981880188
cri,mf,2012,4.1529998779296875
cri,m,2012,2.2109999656677246
cri,f,2012,1.9420000314712524
cri,mf,2013,2.684000015258789
cri,m,2013,2.0420000553131104
cri,f,2013,0.6420000195503235
hrv,mf,2010,1.100000023841858
hrv,mf,2011,1.7000000476837158
hrv,m,2011,1.100000023841858
hrv,f,2011,0.6000000238418579
hrv,mf,2012,2.299999952316284
hrv,m,2012,1.2000000476837158
hrv,f,2012,1.2000000476837158
